Saved: 2024-09-24 01:22:39
P1 name-suii Color [White]
P2 name-CPU Color [Black] M

isP1Turn: True
square row-0 col-0 hasWhite-False hasBlack-False
square row-0 col-1 hasWhite-True hasBlack-False
square row-0 col-2 hasWhite-False hasBlack-False
square row-0 col-3 hasWhite-False hasBlack-False
square row-0 col-4 hasWhite-False hasBlack-False
square row-0 col-5 hasWhite-False hasBlack-False
square row-0 col-6 hasWhite-False hasBlack-False
square row-0 col-7 hasWhite-False hasBlack-False
square row-1 col-0 hasWhite-False hasBlack-False
square row-1 col-1 hasWhite-True hasBlack-False
square row-1 col-2 hasWhite-False hasBlack-False
square row-1 col-3 hasWhite-False hasBlack-False
square row-1 col-4 hasWhite-False hasBlack-False
square row-1 col-5 hasWhite-False hasBlack-False
square row-1 col-6 hasWhite-False hasBlack-False
square row-1 col-7 hasWhite-False hasBlack-False
square row-2 col-0 hasWhite-False hasBlack-False
square row-2 col-1 hasWhite-True hasBlack-False
square row-2 col-2 hasWhite-False hasBlack-False
square row-2 col-3 hasWhite-False hasBlack-True
square row-2 col-4 hasWhite-False hasBlack-True
square row-2 col-5 hasWhite-False hasBlack-True
square row-2 col-6 hasWhite-False hasBlack-False
square row-2 col-7 hasWhite-False hasBlack-False
square row-3 col-0 hasWhite-True hasBlack-False
square row-3 col-1 hasWhite-True hasBlack-False
square row-3 col-2 hasWhite-True hasBlack-False
square row-3 col-3 hasWhite-False hasBlack-True
square row-3 col-4 hasWhite-True hasBlack-False
square row-3 col-5 hasWhite-True hasBlack-False
square row-3 col-6 hasWhite-True hasBlack-False
square row-3 col-7 hasWhite-False hasBlack-False
square row-4 col-0 hasWhite-False hasBlack-False
square row-4 col-1 hasWhite-False hasBlack-False
square row-4 col-2 hasWhite-True hasBlack-False
square row-4 col-3 hasWhite-True hasBlack-False
square row-4 col-4 hasWhite-True hasBlack-False
square row-4 col-5 hasWhite-False hasBlack-False
square row-4 col-6 hasWhite-False hasBlack-False
square row-4 col-7 hasWhite-False hasBlack-False
square row-5 col-0 hasWhite-False hasBlack-False
square row-5 col-1 hasWhite-False hasBlack-False
square row-5 col-2 hasWhite-False hasBlack-False
square row-5 col-3 hasWhite-False hasBlack-True
square row-5 col-4 hasWhite-True hasBlack-False
square row-5 col-5 hasWhite-False hasBlack-False
square row-5 col-6 hasWhite-False hasBlack-False
square row-5 col-7 hasWhite-False hasBlack-False
square row-6 col-0 hasWhite-False hasBlack-False
square row-6 col-1 hasWhite-False hasBlack-False
square row-6 col-2 hasWhite-False hasBlack-False
square row-6 col-3 hasWhite-False hasBlack-True
square row-6 col-4 hasWhite-False hasBlack-False
square row-6 col-5 hasWhite-True hasBlack-False
square row-6 col-6 hasWhite-False hasBlack-False
square row-6 col-7 hasWhite-False hasBlack-False
square row-7 col-0 hasWhite-False hasBlack-False
square row-7 col-1 hasWhite-False hasBlack-False
square row-7 col-2 hasWhite-False hasBlack-False
square row-7 col-3 hasWhite-False hasBlack-False
square row-7 col-4 hasWhite-False hasBlack-False
square row-7 col-5 hasWhite-False hasBlack-False
square row-7 col-6 hasWhite-False hasBlack-False
square row-7 col-7 hasWhite-False hasBlack-False

